config,arm,seed,participation_rate,basin,honest_given_rating,attacks_attempted_stored,total_ratings_final_ep,mean_score_stored,attacks_attempted,attacks_blocked,hold_rate,rho_defined,rho_stored,rho_recomputed,rho_matches_stored,mae_stored,score_std,n_distinct_scores,qual_std,n_score_points,rescore_ok
c1,B,21,1.0,honest-dominant,1.0,0,2000,0.37842437393467077,0,0,,1,-0.5523760148500928,-0.5523760148500928,1,0.4075956202567971,0.06937994945876448,400,0.12266628813573002,400,1
c1,B,22,1.0,honest-dominant,1.0,0,2000,0.7608405361130165,0,0,,1,0.9042508390677441,0.9042508390677441,1,0.06191718419245087,0.11368498799276207,400,0.12266628813573002,400,1
c1,B,23,1.0,honest-dominant,1.0,0,2000,0.3417592223038074,0,0,,1,-0.6282140513378209,-0.6282140513378209,1,0.4465161538652769,0.07992362068947909,400,0.12266628813573002,400,1
c1,B,24,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c1,B,25,1.0,honest-dominant,1.0,0,2000,0.2214076751490051,0,0,,1,-0.8960259126619541,-0.8960259126619541,1,0.5607626568854581,0.11599935970679914,400,0.12266628813573002,400,1
c1,B,26,1.0,honest-dominant,1.0,0,2000,0.5960481161601355,0,0,,1,0.5486308664429151,0.5486308664429151,1,0.21003673641716872,0.06063855165364636,400,0.12266628813573002,400,1
c1,B,27,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397693735585846,0.9397693735585846,1,0.031188891022616714,0.12875240696491835,400,0.12266628813573002,400,1
c1,B,28,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c1,B,29,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c10,A,0,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c10,A,1,1.0,adversarial-dominant,0.0,0,159,0.3997635986630581,0,0,,1,-0.0099161869761686,-0.0099161869761686,1,0.40710306640335103,0.1563580423467976,400,0.12266628813573002,400,1
c10,A,2,0.056575,honest-dominant,1.0,0,106,0.19237421956894132,0,0,,1,-0.561039807482471,-0.561039807482471,1,0.5447395074559818,0.17861095212902808,387,0.12266628813573002,400,1
