config,arm,seed,participation_rate,basin,mean_ci_width,n_alpha_plus_beta,applied_evidence,all_scores_half,total_ratings_last_ep,rating_actions,total_actions,applied_per_agent_step,n_agents,rho_defined
c1,B,16,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c1,B,17,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c1,B,18,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c1,B,19,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,B,20,0.94,honest-dominant,0.14169183632036525,110.3240180775914,106.3240180775914,0,1880,37600,40000,0.94,20,1
c1,B,21,1.0,honest-dominant,0.1675068247535456,123.47470179064875,119.47470179064875,0,2000,40000,40000,1.0,20,1
c1,B,22,1.0,honest-dominant,0.09280815883755375,290.7223835555461,286.7223835555461,0,2000,40000,40000,1.0,20,1
c1,B,23,1.0,honest-dominant,0.16555990843095683,119.55964865247265,115.55964865247265,0,2000,40000,40000,1.0,20,1
c1,B,24,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c1,B,25,1.0,honest-dominant,0.12772420104965115,146.3075804959545,142.3075804959545,0,2000,40000,40000,1.0,20,1
c1,B,26,1.0,honest-dominant,0.09951698928935716,367.13821228561983,363.13821228561983,0,2000,40000,40000,1.0,20,1
c1,B,27,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c1,B,28,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c1,B,29,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c2,A,0,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,A,1,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,A,2,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,A,3,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c2,A,4,0.387175,honest-dominant,0.20395489268181882,51.892339865645184,47.892339865645184,0,770,15487,40000,0.385,20,1
c2,A,5,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c2,A,6,0.716075,honest-dominant,0.08570812230671354,272.3969546340226,268.3969546340226,0,1417,28643,40000,0.7085,20,1
c2,A,7,0.121725,honest-dominant,0.24486518801766727,32.96912240612615,28.969122406126147,0,218,4869,40000,0.109,20,1
c2,A,8,0.413475,honest-dominant,0.23308965270718324,50.24103319228682,46.24103319228682,0,817,16539,40000,0.4085,20,1
c2,A,9,0.948725,honest-dominant,0.07446255026556628,369.82152480159357,365.82152480159357,0,1891,37949,40000,0.9455,20,1
c2,A,10,0.762475,honest-dominant,0.151222394401078,90.35336781553751,86.35336781553751,0,1501,30499,40000,0.7505,20,1
c2,A,11,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,A,12,0.585925,adversarial-dominant,0.3151686206759355,18.827835207111384,14.827835207111384,0,99,23437,40000,0.0495,20,1
c2,A,13,0.767625,honest-dominant,0.08429944155503047,292.5845352458755,288.5845352458755,0,1548,30705,40000,0.774,20,1
c2,A,14,0.22905,honest-dominant,0.16777397948987643,81.50461420355973,77.50461420355973,0,424,9162,40000,0.212,20,1
c2,A,15,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,A,16,0.40855,honest-dominant,0.10990504348140102,159.89523200197482,155.89523200197482,0,815,16342,40000,0.4075,20,1
c2,A,17,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c2,A,18,0.999675,honest-dominant,0.09325506489981107,301.0235671330348,297.0235671330348,0,1999,39987,40000,0.9995,20,1
c2,A,19,0.012425,adversarial-dominant,0.699928582359657,4.0,0.0,1,0,497,40000,0.0,20,1
c2,A,20,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c2,A,21,1.0,honest-dominant,0.10446330108608044,343.27200115168364,339.27200115168364,0,2000,40000,40000,1.0,20,1
c2,A,22,0.914725,honest-dominant,0.10382790716867954,250.70548665577627,246.70548665577627,0,1851,36589,40000,0.9255,20,1
c2,A,23,1.0,honest-dominant,0.10569396745644459,307.34273794710623,303.34273794710623,0,2000,40000,40000,1.0,20,1
c2,A,24,0.0488,honest-dominant,0.44477030081548874,11.280576712695,7.280576712695,0,77,1952,40000,0.0385,20,1
c2,A,25,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,A,26,1.0,adversarial-dominant,0.16952140921606546,35.03880360995178,31.038803609951778,0,159,40000,40000,0.0795,20,1
c2,A,27,0.015025,honest-dominant,0.5589967091934049,7.3848291840408455,3.3848291840408455,0,31,601,40000,0.0155,20,1
c2,A,28,0.23475,adversarial-dominant,0.5734678580226881,6.58042884759479,2.5804288475947903,0,29,9390,40000,0.0145,20,1
