config,arm,seed,rho,tau_a,score_std,collapsed
c11,B,8,0.8620981381133631,0.6819799498746867,0.09943137701516166,0
c11,B,9,-0.355608722554516,-0.24378446115288221,0.0582980803174629,0
c11,B,10,,0.0,0.0,1
c11,B,11,-0.8677342358389739,-0.6885714285714286,0.10791304311802269,0
c11,B,12,-0.73619485121782,-0.5459649122807018,0.08501331255581705,0
c11,B,13,-0.4795563722273264,-0.33463659147869673,0.06581959756347333,0
c11,B,14,0.2837916486978044,0.19235588972431078,0.061395490918790936,0
c11,B,15,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c11,B,16,-0.9243856524103274,-0.7685714285714286,0.12723873044772313,0
c11,B,17,0.9301530009562559,0.7740601503759399,0.12439001236931063,0
c11,B,18,-0.26649335308345673,-0.179874686716792,0.057478026395645865,0
c11,B,19,-0.8247874674216713,-0.6313032581453634,0.09247785428690253,0
c11,B,20,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c11,B,21,,0.0,0.0,1
c11,B,22,,0.0,0.0,1
c11,B,23,-0.6835424596403727,-0.4942355889724311,0.08006635113665346,0
c11,B,24,,0.0,0.0,1
c11,B,25,-0.07548890930568315,-0.052456140350877194,0.057057545840070154,0
c11,B,26,-0.11048112800705004,-0.0737844611528822,0.0569071167497221,0
c11,B,27,0.9255196594978718,0.7671428571428571,0.12347623979568363,0
c11,B,28,,0.0,0.0,1
c11,B,29,-0.37125438283989276,-0.25390977443609025,0.05874799916563887,0
c2,A,0,,0.0,0.0,1
c2,A,1,,0.0,0.0,1
c2,A,2,,0.0,0.0,1
c2,A,3,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c2,A,4,-0.8598479365496033,-0.6722305764411027,0.12642860099816325,0
c2,A,5,0.9397530609566309,0.7923308270676692,0.12877795358815466,0
c2,A,6,0.9212011325070781,0.7604260651629072,0.13030441708313528,0
c2,A,7,-0.6993679335495845,-0.5090476190476191,0.15425505254455082,0
c2,A,8,-0.7089213057581609,-0.5161654135338346,0.11078355829579967,0
c2,A,9,0.9347066544165901,0.7849874686716792,0.12817611297925532,0
c2,A,10,-0.9055040969006056,-0.7370927318295739,0.12741603337946553,0
c2,A,11,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c2,A,12,0.04889220354626703,0.03443609022556391,0.1879846113433999,0
c2,A,13,0.9264102900643129,0.7683208020050125,0.12975554343786452,0
c2,A,14,0.669636622728892,0.4831829573934837,0.12903139748633052,0
c2,A,15,,0.0,0.0,1
c2,A,16,0.8798608741304632,0.6985714285714286,0.12900368589174926,0
c2,A,17,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
